ID_PLANO_SAUDE,DS_RAZAO_SOCIAL,NM_FANTASIA_PLANO_SAUDE,DS_PLANO_SAUDE,NR_CNPJ,NM_CONTATO,DS_TELEFONE,DT_INICIO,DT_FIM,DT_CADASTRO,NM_USUARIO
1,Alice,Alice,Plano de saude empresarial,35612503000100,Marcos Brandão,celular,2018-6-5,None,2023-10-17,Miron
2,Unimed,Unimed,Plano Individual,02812468000106,Bruno Vasconcelos,celular,2021-12-23,None,2023-10-17,Miron
3,SulAmérica,SulAmérica,Plano Individual,02866602000151,Fabio Pires,firma,2021-1-5,None,2023-10-17,Miron
4,Bradesco Saúde,Bradesco Saúde,Plano de saude empresarial,92693118000160,Marta Peixoto,celular,2019-8-9,None,2023-10-17,Miron
5,Amil,Amil,Plano classico,29309127000179,Otávio Pires,firma,2015-1-18,None,2023-10-17,Miron
6,Hapvida,Hapvida,Plano de saude empresarial,63554067000198,Fernanda Fonseca,firma,2008-12-15,None,2023-10-17,Miron
7,NotreDame Intermédica,NotreDame Intermédica,Plano classico,44649812000138,Fernanda Paiva,celular,2017-3-25,None,2023-10-17,Miron
8,Porto Seguro Saúde,Porto Seguro Saúde,Plano Individual,61198164000160,João Reis,firma,2021-9-5,None,2023-10-17,Miron
9,SulAmérica Saúde,SulAmérica Saúde,Plano Individual,02866602000151,Fernando Dias,celular,2018-10-2,None,2023-10-17,Miron
10,Cassi,Cassi,Plano Familia,33719485000127,Amanda Torres,firma,2020-12-27,None,2023-10-17,Miron
